Activity ID	(New)	Activity Name	Duration	Start	Finish
              1SES201PRP55005F	1	Cause & Effect for SCC Common_IFC	41	07-Dec-23	05-Feb-24
            Process Data Table for Pressure Safety Valve			53	03-Jul-23	14-Sep-23
              1SES201PRP15005A	1	Pressure Safety Valve Data for SCC Common_IFA	22	03-Jul-23	01-Aug-23
              1SES201PRP15005B	1	Pressure Safety Valve Data for SCC Common_PCT Approval	10	02-Aug-23	16-Aug-23
              1SES201PRP15005F	1	Pressure Safety Valve Data for SCC Common_IFC	21	17-Aug-23	14-Sep-23
            Process Control Narrative			72	16-Nov-23	29-Feb-24
              1SES201PRP25045A	1	Process Control Narrative for SCC Common_IFA	23	16-Nov-23	18-Dec-23
              1SES201PRP25045B	1	Process Control Narrative for SCC Common_PCT Approval	10	19-Dec-23	03-Jan-24
              1SES201PRP25045F	1	Process Control Narrative for SCC Common_IFC	39	04-Jan-24	29-Feb-24
            Effluent Summary			20	17-Jul-23	11-Aug-23
              1SES201PRP25005F	1	Effluent Summary for SCC Common_IFI	20	17-Jul-23	11-Aug-23
            Flare Load Summary			146	02-Mar-23	02-Oct-23
              1SES201PRP25020F	1	Dynamic Simulation Report for SCC Common_IFI	146	02-Mar-23	02-Oct-23
              1SES201PRP25025F	1	Flare Load Summary for SCC Common_IFI	21	25-Jul-23	23-Aug-23
            Chemicals & Catalyst Summary			21	15-Dec-23	16-Jan-24
              1SES201PRP25040F	1	Catalyst And Chemicals Summary for SCC Common_IFI	21	15-Dec-23	16-Jan-24
            Overall Battery Limit Summary			21	24-May-23	23-Jun-23
              1SES201PRP25010F	1	Overall Battery Limit Summary for SCC Common_IFI	21	24-May-23	23-Jun-23
            Material Selection Diagram			132	28-Apr-23	10-Nov-23
              1SES201PRP15010A	1	Material Selection Diagram_IFA	39	28-Apr-23*	27-Jun-23
              1SES201PRP15010B	1	Material Selection Diagram_PCT Approval	10	28-Jun-23	11-Jul-23
              1SES201PRP15010F	1	Material Selection Diagram_IFC	83	12-Jul-23	10-Nov-23
            Utility Summary			20	17-Jul-23	11-Aug-23
              1SES201PRP25030F	1	Utility Summary for SCC Common_IFI	20	17-Jul-23	11-Aug-23
            Utility Distribution Diagram			231	03-Apr-23	08-Mar-24
              1SES201PRP30050A	1	UDD for SCC Common_IFA	40	03-Apr-23	31-May-23
              1SES201PRP30050C	1	UDD for SCC Common_IFH	46	01-Jun-23	04-Aug-23
              1SES201PRP30050D	1	UDD for SCC Common_IFD	59	07-Aug-23	02-Nov-23
              1SES201PRP30050F	1	UDD for SCC Common_IFC	86	03-Nov-23	08-Mar-24
            Line Size Calculation			23	16-Jun-23	18-Jul-23
              1SES201PRP20010F	1	Line Size Calculation for SCC Common_IFI	23	16-Jun-23	18-Jul-23
            Line List			21	16-Jun-23	14-Jul-23
              1SES201PRP60005F	1	Line List for SCC Common_IFI	21	16-Jun-23	14-Jul-23
            Alarm Set Point List			20	16-Jun-23	13-Jul-23
              1SES201PRP25015F	1	Alarm and Trip Set Point List for SCC Common_IFI	20	16-Jun-23	13-Jul-23
            Supervisory Operating Manual			45	11-Jun-24	12-Aug-24
              1SES201PRP65005F	1	Operating Manual for SCC Common_IFI	45	11-Jun-24	12-Aug-24
            Engineering Procurement			61	25-Mar-24	24-Jun-24
              1SES201PRP70005A	1	Catalyst_MR Issue	22	25-Mar-24	24-Apr-24
              1SES201PRP70005F	1	Catalyst_TBE Issue	23	22-May-24	24-Jun-24
              1SES201PRP70010A	1	Chemical_MR Issue	22	25-Mar-24	24-Apr-24
              1SES201PRP70010F	1	Chemical_TBE Issue	23	22-May-24	24-Jun-24
          Utilities & Offsite			380	02-Mar-23	11-Sep-24
            Process Design Basis			155	03-Apr-23	16-Nov-23
              1UES166PRP25050A	1	MSD for U&O_IFA	38	08-May-23	30-Jun-23
              1UES166PRP25050B	1	MSD for U&O_PCT Approval	10	03-Jul-23	14-Jul-23
              1UES166PRP25050F	1	MSD for U&O_IFC	84	17-Jul-23	16-Nov-23
              1UES202PRP05005A	1	Design Basis for U&O_IFA	29	03-Apr-23	15-May-23
              1UES202PRP05005B	1	Design Basis for U&O_PCT Approval	10	16-May-23	30-May-23
              1UES202PRP05005F	1	Design Basis for U&O_IFC	85	31-May-23	02-Oct-23
            Process Flow Diagram [PFD] / Utility Flow Diagram [UFD]			132	03-Apr-23	16-Oct-23
              1UES202PRP30005A	1	Utility Flow Diagram for U&O Common_IFA	39	03-Apr-23	30-May-23
              1UES202PRP30005B	1	Utility Flow Diagram for U&O Common_PCT Approval	10	31-May-23	14-Jun-23
              1UES202PRP30005F	1	Utility Flow Diagram for U&O Common_IFC	83	15-Jun-23	16-Oct-23
            Piping & Instrument Diagram (P&ID)			232	03-Apr-23	11-Mar-24
              1UES202PRP35005A	1	P&ID for U&O Common_IFA	33	03-Apr-23	19-May-23
              1UES202PRP35005C	1	P&ID for U&O Common_IFH	53	22-May-23	04-Aug-23
              1UES202PRP35005D	1	P&ID for U&O Common_IFD	60	07-Aug-23	03-Nov-23
              1UES202PRP35005F	1	P&ID for U&O Common_IFC	86	06-Nov-23	11-Mar-24
            Equipment List			136	20-Mar-23	05-Oct-23
              1UES202PRP50005A	1	Equipment List for U&O_IFA	44	20-Mar-23	22-May-23
              1UES202PRP50005B	1	Equipment List for U&O_PCT Approval	10	23-May-23	07-Jun-23
              1UES202PRP50005F	1	Equipment List for U&O_IFC	82	08-Jun-23	05-Oct-23
            Heat & Material Balances			134	21-Mar-23	04-Oct-23
              1UES202PRP30010A	1	Heat And Material Balance for U&O Common_IFA	42	21-Mar-23	19-May-23
              1UES202PRP30010B	1	Heat And Material Balance for U&O Common_PCT Approval	10	22-May-23	05-Jun-23
              1UES202PRP30010F	1	Heat And Material Balance for U&O Common_IFC	82	07-Jun-23	04-Oct-23
            Pump Hydraulic Calculation			22	31-May-23	30-Jun-23
              1UES202PRP20005F	1	Pump Hydraulic Calculation for U&O_IFI	22	31-May-23	30-Jun-23
            Cause & Effect Diagram			74	23-Oct-23	05-Feb-24
              1UES202PRP55035A	1	Cause & Effect for U&O_IFA	23	23-Oct-23	22-Nov-23
              1UES202PRP55035B	1	Cause & Effect for U&O_PCT Approval	10	23-Nov-23	06-Dec-23
              1UES202PRP55035F	1	Cause & Effect for U&O_IFC	41	07-Dec-23	05-Feb-24
            Design Pressure & Temp. (DPDT)			132	03-Apr-23	16-Oct-23
              1UES202PRP40005A	1	Design Pressure & Temperature Diagram for U&O Common_IFA	39	03-Apr-23	30-May-23
              1UES202PRP40005B	1	Design Pressure & Temperature Diagram for U&O Common_PCT Approval	10	31-May-23	14-Jun-23
              1UES202PRP40005F	1	Design Pressure & Temperature Diagram for U&O Common_IFC	83	15-Jun-23	16-Oct-23
            Process Control Narrative			72	23-Nov-23	08-Mar-24
              1UES202PRP25045A	1	Process Control Narrative for U&O_IFA	23	23-Nov-23	26-Dec-23
              1UES202PRP25045B	1	Process Control Narrative for U&O_PCT Approval	10	27-Dec-23	10-Jan-24
              1UES202PRP25045F	1	Process Control Narrative for U&O_IFC	39	11-Jan-24	08-Mar-24
            Effluent Summary			20	31-May-23	28-Jun-23
              1UES202PRP25005F	1	Effluent Summary for U&O_IFI	20	31-May-23	28-Jun-23
            Flare Load Summary			146	02-Mar-23	02-Oct-23
              1UES202PRP25020F	1	Dynamic Simulation Report for U&O_IFI	146	02-Mar-23	02-Oct-23
              1UES202PRP25025F	1	Flare Load Summary for U&O_IFI	21	01-Jun-23	30-Jun-23
            Chemicals & Catalyst Summary			21	27-Dec-23	25-Jan-24
              1UES202PRP25040F	1	Chemicals Summary for U&O_IFI	21	27-Dec-23	25-Jan-24
            Overall Battery Limit Summary			21	01-Jun-23	30-Jun-23
              1UES202PRP25010F	1	Overall Battery Limit Summary for U&O_IFI	21	01-Jun-23	30-Jun-23
            Utility Summary			20	31-May-23	28-Jun-23
              1UES202PRP25030F	1	Utility Summary for U&O_IFI	20	31-May-23	28-Jun-23
            Line Size Calculation			23	22-May-23	23-Jun-23
              1UES202PRP20010F	1	Line Size Calculation for U&O_IFI	23	22-May-23	23-Jun-23
            Line List			21	22-May-23	21-Jun-23
              1UES202PRP60005F	1	Line List for U&O_IFI	21	22-May-23	21-Jun-23
            Alarm Set Point List			20	16-Nov-23	13-Dec-23
              1UES202PRP25015F	1	Alarm And Trip Set Point List for U&O_IFI	20	16-Nov-23	13-Dec-23
            Supervisory Operating Manual			21	13-Aug-24	11-Sep-24
              1UES202PRP65005F	1	Operating Manual for U&O_IFI	21	13-Aug-24	11-Sep-24
            Engineering Procurement			61	25-Mar-24	24-Jun-24
              1UES202PRP70005A	1	U&O Chemical_MR Issue	22	25-Mar-24	24-Apr-24
              1UES202PRP70005F	1	U&O Chemical_TBE Issue	23	22-May-24	24-Jun-24
        Safety & Firefighting			440	03-Apr-23	14-Jan-25
          SCC			371	03-Apr-23	04-Oct-24
            Common			90	10-Apr-23	18-Aug-23
              1SES201SFF05015A	1	Engineering Specification for Design of Fireproofing_IFA	15	10-Apr-23	28-Apr-23
              1SES201SFF05015B	1	Engineering Specification for Design of Fireproofing_PCT Approval	10	02-May-23	16-May-23
              1SES201SFF05015F	1	Engineering Specification for Design of Fireproofing_IFC	20	17-May-23	15-Jun-23
              1SES201SFF35005A	1	Fire Exposed Envelope Zone Drawing for Steam Cracker Complex_IFA	31	22-May-23	05-Jul-23
              1SES201SFF35005B	1	Fire Exposed Envelope Zone Drawing for Steam Cracker Complex_PCT Approval	10	06-Jul-23	19-Jul-23
              1SES201SFF35005F	1	Fire Exposed Envelope Zone Drawing for Steam Cracker Complex_IFC	21	20-Jul-23	18-Aug-23
            Design Basis & Safety Design Philosophy			70	03-Apr-23	13-Jul-23
              1SES201SFF05005A	1	Basis of Design for Fire Fighting System for SCC Common_IFA	40	03-Apr-23	31-May-23
              1SES201SFF05005B	1	Basis of Design for Fire Fighting System for SCC Common_PCT Approval	10	01-Jun-23	15-Jun-23
              1SES201SFF05005F	1	Basis of Design for Fire Fighting System for SCC Common_IFC	20	16-Jun-23	13-Jul-23
              1SES201SFF05010A	1	Design Basis for Fire and Gas Alarm System for SCC & U&O _IFA	40	03-Apr-23	31-May-23
              1SES201SFF05010B	1	Design Basis for Fire and Gas Alarm System for SCC & U&O _PCT Approval	10	01-Jun-23	15-Jun-23
              1SES201SFF05010F	1	Design Basis for Fire and Gas Alarm System for SCC & U&O _IFC	20	16-Jun-23	13-Jul-23
              1SES201SFF05020A	1	Safety Design Philosophy_IFA	17	03-Apr-23	25-Apr-23
              1SES201SFF05020B	1	Safety Design Philosophy_PCT Approval	10	26-Apr-23	11-May-23
              1SES201SFF05020F	1	Safety Design Philosophy_IFC	23	12-May-23	15-Jun-23
            Fire Water Hydraulic Calculation Report			70	03-Apr-23	13-Jul-23
              1SES201SFF07005A	1	Calculation Report for SCC Common_IFA	40	03-Apr-23	31-May-23
              1SES201SFF07005B	1	Calculation Report for SCC Common_PCT Approval	10	01-Jun-23	15-Jun-23
              1SES201SFF07005F	1	Calculation Report for SCC Common_IFC	20	16-Jun-23	13-Jul-23
            Fire & Safety Equipment Layout (Incl. Building)			138	03-Apr-23	24-Oct-23
              1SES201SFF20010A	1	Fire Fightintg Equipment Layout-1 for SCC Common_IFR	52	01-Jun-23	14-Aug-23
              1SES201SFF20010B	1	Fire Fightintg Equipment Layout-1 for SCC Common_PCT Review	10	16-Aug-23	29-Aug-23
              1SES201SFF20010F	1	Fire Fightintg Equipment Layout-1 for SCC Common_IFC	23	30-Aug-23	04-Oct-23
              1SES201SFF20015A	1	Fire Fightintg Equipment Layout-2 for SCC Common_IFR	43	04-Jul-23	01-Sep-23
              1SES201SFF20015B	1	Fire Fightintg Equipment Layout-2 for SCC Common_PCT Review	10	04-Sep-23	15-Sep-23
              1SES201SFF20015F	1	Fire Fightintg Equipment Layout-2 for SCC Common_IFC	23	18-Sep-23	24-Oct-23
              1SES201SFF25005A	1	Fire Fighting System Diagram for SCC Common_IFA	40	03-Apr-23	31-May-23
              1SES201SFF25005B	1	Fire Fighting System Diagram for SCC Common_PCT Approval	10	01-Jun-23	15-Jun-23
              1SES201SFF25005F	1	Fire Fighting System Diagram for SCC Common_IFC	20	16-Jun-23	13-Jul-23
            HAZOP & SIL Procedure & Report			217	10-Apr-23	23-Feb-24
              1SES101SFF15005A	1	HAZOP Study Report for Steam Cracker Complex_IFA	39	16-Nov-23	11-Jan-24
              1SES101SFF15005B	1	HAZOP Study Report for Steam Cracker Complex_PCT Approval	10	12-Jan-24	25-Jan-24
              1SES101SFF15005F	1	HAZOP Study Report for Steam Cracker Complex_IFC	19	26-Jan-24	23-Feb-24
              1SES201SFF15020A	1	HAZOP Procedure_IFR	15	10-Apr-23	28-Apr-23
              1SES201SFF15020B	1	HAZOP Procedure_PCT Review	10	02-May-23	16-May-23
              1SES201SFF15020F	1	HAZOP Procedure_IFC	20	17-May-23	15-Jun-23
            Block Diagram (Fire & Gas System)			178	02-May-23	18-Jan-24
              1SES201SFF30005A	1	Block Diagram for Overall Fire and Gas Alarm System _IFA	41	02-May-23	30-Jun-23
              1SES201SFF30005B	1	Block Diagram for Overall Fire and Gas Alarm System _PCT Approval	10	03-Jul-23	14-Jul-23
              1SES201SFF30005F	1	Block Diagram for Overall Fire and Gas Alarm System _IFC	20	17-Jul-23	11-Aug-23
              1SES201SFF30010A	1	Block Diagram for Fire and Gas Alarm System for Main & Hot Section Substation_IFA	39	31-Aug-23	30-Oct-23
              1SES201SFF30010B	1	Block Diagram for Fire and Gas Alarm System for Main & Hot Section Substation_PCT Approval	10	31-Oct-23	13-Nov-23
              1SES201SFF30010F	1	Block Diagram for Fire and Gas Alarm System for Main & Hot Section Substation_IFC	20	14-Nov-23	11-Dec-23
              1SES201SFF30015A	1	Block Diagram for Fire and Gas Alarm System for West Substation_IFA	42	05-Oct-23	04-Dec-23
              1SES201SFF30015B	1	Block Diagram for Fire and Gas Alarm System for West Substation_PCT Approval	10	05-Dec-23	18-Dec-23
              1SES201SFF30015F	1	Block Diagram for Fire and Gas Alarm System for West Substation_IFC	21	19-Dec-23	18-Jan-24
            Passive Fire Protection Layout			60	02-May-23	27-Jul-23
              1SES201SFF10045A	1	Fireproofing Schedule for Steam Cracker Complex_IFR	28	02-May-23	13-Jun-23
              1SES201SFF10045B	1	Fireproofing Schedule for Steam Cracker Complex_PCT Review	10	14-Jun-23	27-Jun-23
              1SES201SFF10045F	1	Fireproofing Schedule for Steam Cracker Complex_IFC	22	28-Jun-23	27-Jul-23
            Fire and Gas Detector Location Plan			310	01-Jun-23	30-Aug-24
              1SES201SFF30020A	1	Fire and Gas Detector Location Overall Plan for SCC Area_IFA	42	01-Jun-23	31-Jul-23
              1SES201SFF30020B	1	Fire and Gas Detector Location Overall Plan for SCC Area_PCT Approval	10	01-Aug-23	14-Aug-23
              1SES201SFF30020F	1	Fire and Gas Detector Location Overall Plan for SCC Area_IFC	23	16-Aug-23	15-Sep-23
              1SES201SFF30025A	1	Fire and Gas Detector Location Plan for Main & Hot Section Substation_IFR	52	16-Jan-24	01-Apr-24
              1SES201SFF30025B	1	Fire and Gas Detector Location Plan for Main & Hot Section Substation_PCT Review	10	02-Apr-24	16-Apr-24
              1SES201SFF30025F	1	Fire and Gas Detector Location Plan for Main & Hot Section Substation_IFC	21	17-Apr-24	20-May-24
              1SES201SFF30030A	1	Fire and Gas Detector Location Plan for West Substation_IFR	51	16-Feb-24	30-Apr-24
              1SES201SFF30030B	1	Fire and Gas Detector Location Plan for West Substation_PCT Review	10	02-May-24	17-May-24
              1SES201SFF30030F	1	Fire and Gas Detector Location Plan for West Substation_IFC	20	20-May-24	17-Jun-24
              1SES201SFF30035A	1	Fire and Gas Detector Location Plan for Combined SCC & TC2C Catalyst Storage_IFR	49	08-May-24	17-Jul-24
              1SES201SFF30035B	1	Fire and Gas Detector Location Plan for Combined SCC & TC2C Catalyst Storage_PCT Review	10	18-Jul-24	31-Jul-24
              1SES201SFF30035F	1	Fire and Gas Detector Location Plan for Combined SCC & TC2C Catalyst Storage_IFC	21	01-Aug-24	30-Aug-24
              1SES201SFF30045A	1	Fire and Gas Detector Location Plan for Main Compressor Shelter_IFR	49	08-May-24	17-Jul-24
              1SES201SFF30045B	1	Fire and Gas Detector Location Plan for Main Compressor Shelter_PCT Review	10	18-Jul-24	31-Jul-24
              1SES201SFF30045F	1	Fire and Gas Detector Location Plan for Main Compressor Shelter_IFC	21	01-Aug-24	30-Aug-24
              1SES201SFF30050A	1	Fire and Gas Detector Location Plan for Heater Area_IFR	49	08-May-24	17-Jul-24
              1SES201SFF30050B	1	Fire and Gas Detector Location Plan for Heater Area_PCT Review	10	18-Jul-24	31-Jul-24
              1SES201SFF30050F	1	Fire and Gas Detector Location Plan for Heater Area_IFC	21	01-Aug-24	30-Aug-24
              1SES201SFF30055A	1	Fire and Gas Detector Location Plan for Quench Tower Area_IFR	49	08-May-24	17-Jul-24
              1SES201SFF30055B	1	Fire and Gas Detector Location Plan for Quench Tower Area_PCT Review	10	18-Jul-24	31-Jul-24
              1SES201SFF30055F	1	Fire and Gas Detector Location Plan for Quench Tower Area_IFC	21	01-Aug-24	30-Aug-24
              1SES201SFF30060A	1	Fire and Gas Detector Location Plan for Compression Unit Area_IFR	49	08-May-24	17-Jul-24
              1SES201SFF30060B	1	Fire and Gas Detector Location Plan for Compression Unit Area_PCT Review	10	18-Jul-24	31-Jul-24
              1SES201SFF30060F	1	Fire and Gas Detector Location Plan for Compression Unit Area_IFC	21	01-Aug-24	30-Aug-24
              1SES201SFF30065A	1	Fire and Gas Detector Location Plan for Chilling Unit Area_IFR	49	08-May-24	17-Jul-24
              1SES201SFF30065B	1	Fire and Gas Detector Location Plan for Chilling Unit Area_PCT Review	10	18-Jul-24	31-Jul-24
              1SES201SFF30065F	1	Fire and Gas Detector Location Plan for Chilling Unit Area_IFC	21	01-Aug-24	30-Aug-24
              1SES201SFF30070A	1	Fire and Gas Detector Location Plan for Caustic & Wash Oil Storage Area_IFR	49	08-May-24	17-Jul-24
              1SES201SFF30070B	1	Fire and Gas Detector Location Plan for Caustic & Wash Oil Storage Area_PCT Review	10	18-Jul-24	31-Jul-24
              1SES201SFF30070F	1	Fire and Gas Detector Location Plan for Caustic & Wash Oil Storage Area_IFC	21	01-Aug-24	30-Aug-24
              1SES201SFF30075A	1	Fire and Gas Detector Location Plan for Gasoline Fractionator Area_IFR	49	08-May-24	17-Jul-24
              1SES201SFF30075B	1	Fire and Gas Detector Location Plan for Gasoline Fractionator Area_PCT Review	10	18-Jul-24	31-Jul-24
              1SES201SFF30075F	1	Fire and Gas Detector Location Plan for Gasoline Fractionator Area_IFC	21	01-Aug-24	30-Aug-24
              1SES201SFF30080A	1	Fire and Gas Detector Location Plan for Refinery Off Gas Unit Arera_IFR	49	08-May-24	17-Jul-24
              1SES201SFF30080B	1	Fire and Gas Detector Location Plan for Refinery Off Gas Unit Arera_PCT Review	10	18-Jul-24	31-Jul-24
              1SES201SFF30080F	1	Fire and Gas Detector Location Plan for Refinery Off Gas Unit Arera_IFC	21	01-Aug-24	30-Aug-24
              1SES201SFF30085A	1	Fire and Gas Detector Location Plan for Steam Blowdown (Boiler Feed) Area_IFR	49	08-May-24	17-Jul-24
              1SES201SFF30085B	1	Fire and Gas Detector Location Plan for Steam Blowdown (Boiler Feed) Area_PCT Review	10	18-Jul-24	31-Jul-24
              1SES201SFF30085F	1	Fire and Gas Detector Location Plan for Steam Blowdown (Boiler Feed) Area_IFC	21	01-Aug-24	30-Aug-24
            Building Risk Assessment Report			331	01-Jun-23	04-Oct-24
              1SES101SFF10005A	1	Engineering Report for Quantitative Risk Analysis (QRA) for Steam Cracker Complex_IFR	40	01-Jun-23	27-Jul-23
              1SES101SFF10005B	1	Engineering Report for Quantitative Risk Analysis (QRA) for Steam Cracker Complex_PCT Review	10	28-Jul-23	10-Aug-23
              1SES101SFF10005F	1	Engineering Report for Quantitative Risk Analysis (QRA) for Steam Cracker Complex_IFC	20	11-Aug-23	08-Sep-23
              1SES101SFF10010A	1	Engineering Report for Building Risk Assessment (BRA) for Steam Cracker Complex_IFR	20	01-Jun-23	29-Jun-23
